City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Flin Flon,CA,54.7682,-101.865,50.23,47,33,4.27,scattered clouds
210,Grindavik,IS,63.8424,-22.4338,41.47,81,20,6.91,few clouds
211,Kedougou,SN,12.5579,-12.1743,73.98,94,20,6.91,thunderstorm
212,Kupino,RU,54.3663,77.2981,39.67,75,98,13.06,light rain
213,Saint-Pierre,RE,-21.3393,55.4781,65.88,72,20,5.75,few clouds
214,Mulege,MX,26.8833,-111.9833,91.53,46,0,7.9,clear sky
215,Qasigiannguit,GL,68.8193,-51.1922,37.65,78,100,5.17,overcast clouds
216,Puyang,CN,29.4603,119.8861,70.7,71,25,3.38,scattered clouds
217,Arcata,US,40.8665,-124.0828,90.75,79,0,5.75,clear sky
218,Atar,MR,20.5169,-13.0499,81.55,56,92,7.4,overcast clouds
219,Candido Mendes,BR,-1.4467,-45.7167,77.4,77,14,6.24,few clouds
220,Richha,IN,28.7,79.5167,71.17,92,61,1.99,broken clouds
221,Mehamn,NO,71.0357,27.8492,42.75,81,0,11.5,clear sky
222,Florianopolis,BR,-27.6146,-48.5012,56.43,99,100,5.75,moderate rain
223,Tiksi,RU,71.6872,128.8694,34.56,78,92,24.32,overcast clouds
224,Aswan,EG,24.0934,32.907,88.09,20,2,9.17,clear sky
225,Boyolangu,ID,-8.1181,111.8935,77.79,81,79,8.5,broken clouds
226,Bucerias,MX,20.75,-105.3333,87.98,79,75,4.61,broken clouds
227,Roald,NO,62.5833,6.1333,54.52,76,40,9.22,light rain
228,Muyezerskiy,RU,63.9333,31.65,40.26,98,100,3.83,overcast clouds
229,Yellowknife,CA,62.456,-114.3525,48.72,71,40,4.61,scattered clouds
230,Adeje,ES,28.1227,-16.726,68.92,99,100,17.27,overcast clouds
231,Thompson,CA,55.7435,-97.8558,44.76,57,40,5.75,scattered clouds
232,Inverell,AU,-29.7833,151.1167,67.66,55,63,5.99,broken clouds
233,Abha,SA,18.2164,42.5053,62.85,24,0,0.0,clear sky
234,Trairi,BR,-3.2778,-39.2689,78.01,79,5,9.78,clear sky
235,Worland,US,44.0169,-107.9554,75.67,29,0,4.61,clear sky
236,Isangel,VU,-19.55,169.2667,81.16,68,2,2.46,clear sky
237,Bronte,IT,37.7895,14.8342,63.09,87,99,3.53,overcast clouds
238,Massape,BR,-3.5228,-40.3428,77.85,65,10,6.76,clear sky
239,Durango,MX,24.8333,-104.8333,72.72,37,7,7.29,clear sky
240,Henties Bay,NA,-22.116,14.2845,55.11,83,80,5.37,broken clouds
241,Katobu,ID,-4.9408,122.5276,81.43,67,59,3.42,broken clouds
242,Chokurdakh,RU,70.6333,147.9167,31.42,75,97,12.66,overcast clouds
243,Hwange,ZW,-18.3693,26.5019,72.75,34,6,4.47,clear sky
244,Gwadar,PK,25.1216,62.3254,79.83,81,95,7.58,overcast clouds
245,Copiapo,CL,-27.3667,-70.3333,49.69,50,1,4.34,clear sky
246,Zatoka,UA,46.0725,30.4654,65.46,73,92,18.92,overcast clouds
247,San Quintin,MX,30.4833,-115.95,78.48,64,1,13.15,clear sky
248,Hamada,JP,34.8833,132.0833,72.32,68,100,1.86,overcast clouds
249,Kahului,US,20.8947,-156.47,91.42,49,20,10.36,few clouds
250,Poum,NC,-20.2333,164.0167,76.86,73,0,10.02,clear sky
251,Asau,RO,46.4333,26.4,51.28,70,100,4.99,overcast clouds
252,Guangyuan,CN,32.442,105.823,63.93,91,95,1.14,overcast clouds
253,Vanderbijlpark,ZA,-26.7117,27.838,64.15,41,2,8.68,clear sky
254,Turinsk,RU,58.0458,63.696,34.54,78,92,14.43,overcast clouds
255,Leningradskiy,RU,69.3833,178.4167,33.12,93,100,7.38,light snow
256,Borskoye,RU,53.0333,51.7167,47.5,88,100,12.01,overcast clouds
257,Ambon,ID,-3.6954,128.1814,77.14,94,40,6.91,light rain
258,Dunda,TZ,-8.1167,34.25,66.11,60,27,4.27,scattered clouds
259,Alta Floresta,BR,-9.8756,-56.0861,71.62,90,83,3.49,broken clouds
260,Gamba,GA,-2.65,10.0,75.13,86,100,5.3,light rain
261,Jumla,NP,29.2747,82.1838,54.88,90,100,2.95,overcast clouds
262,Cayenne,GF,4.9333,-52.3333,78.84,89,0,6.91,clear sky
263,Tigil,RU,57.8,158.6667,43.36,85,100,6.06,light rain
264,Oranjemund,NA,-28.55,16.4333,53.76,83,85,6.46,overcast clouds
265,Zhigalovo,RU,54.8097,105.1578,32.54,96,100,4.09,overcast clouds
266,Zhangjiakou,CN,40.81,114.8794,63.09,37,0,0.29,clear sky
267,Lasa,IT,46.6166,10.7002,50.88,97,100,4.07,overcast clouds
268,Mongo,TD,12.1844,18.693,80.37,64,56,4.5,broken clouds
269,Matamoros,MX,25.5333,-103.25,89.71,27,20,9.22,few clouds
270,San Andres,CO,12.5847,-81.7006,84.22,79,100,4.61,overcast clouds
271,Roma,US,43.2128,-75.4557,58.95,96,100,0.0,overcast clouds
272,Malanje,AO,-9.5402,16.341,66.92,82,82,4.68,broken clouds
273,Belaya Gora,RU,68.5333,146.4167,34.2,66,74,13.0,broken clouds
274,Kondinskoye,RU,59.6481,67.41,27.5,79,3,8.57,clear sky
275,Esperance,AU,-33.8667,121.9,59.86,69,53,9.6,broken clouds
276,Trelew,AR,-43.249,-65.3051,54.23,75,65,16.89,broken clouds
277,Zhucheng,CN,35.9947,119.3975,65.8,74,0,3.56,clear sky
278,Codrington,AU,-38.2667,141.9667,51.39,96,100,4.27,overcast clouds
279,Chusovoy,RU,58.3013,57.8131,36.91,85,100,18.68,light rain
280,Qaqortoq,GL,60.7167,-46.0333,46.83,99,100,3.76,heavy intensity rain
281,Miyako,JP,39.6367,141.9525,69.57,67,100,2.33,overcast clouds
282,Pervomayskiy,RU,53.2485,40.2871,44.47,90,100,13.78,overcast clouds
283,Fare,PF,-16.7,-151.0167,77.5,77,43,19.71,light rain
284,Fort-Shevchenko,KZ,44.5086,50.263,66.94,51,8,19.22,clear sky
285,Mandapeta,IN,16.8667,81.9333,76.14,89,87,2.1,overcast clouds
286,La Reforma,MX,25.0833,-108.05,86.76,74,19,11.5,few clouds
287,Vanavara,RU,60.34,102.2797,29.07,90,86,2.73,overcast clouds
288,Thohoyandou,ZA,-22.9456,30.485,68.99,31,0,2.15,clear sky
289,Namatanai,PG,-3.6667,152.4333,85.48,60,7,5.28,clear sky
290,Deputatskiy,RU,69.3,139.9,21.31,94,100,3.94,overcast clouds
291,Leh,IN,34.1667,77.5833,42.39,94,100,3.6,overcast clouds
292,Barra,BR,-11.0894,-43.1417,81.93,46,20,11.3,few clouds
293,Kalabo,ZM,-14.97,22.6814,70.86,25,91,2.33,overcast clouds
294,Lavumisa,SZ,-27.31,31.892,68.36,78,0,3.02,clear sky
295,Neuquen,AR,-38.9516,-68.0591,53.49,47,4,0.0,clear sky
296,Tayga,RU,56.06,85.6197,31.12,95,100,4.41,overcast clouds
297,Auki,SB,-8.7676,160.7034,84.88,64,62,4.29,broken clouds
298,San Luis,AR,-33.295,-66.3356,53.53,59,52,7.83,broken clouds
299,Kemijarvi,FI,66.7131,27.4306,37.78,89,66,4.74,broken clouds
300,Bubaque,GW,11.2833,-15.8333,79.47,80,100,13.0,overcast clouds
