City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Port Elizabeth,ZA,2022-09-22 19:17:49,-33.918,25.5701,61.32,84,0,13.8
243,Esperance,AU,2022-09-22 19:17:49,-33.8667,121.9,46.92,72,0,9.24
244,Xucheng,CN,2022-09-22 19:17:49,20.35,110.1288,78.39,86,100,12.75
245,Shihezi,CN,2022-09-22 19:17:50,44.3,86.0333,70.68,15,100,2.1
246,Sangueya,GN,2022-09-22 19:17:50,10.7,-14.3667,74.71,96,100,3.78
247,Ushtobe,KZ,2022-09-22 19:17:50,45.2514,77.9838,64.76,30,6,3.51
248,Halifax,CA,2022-09-22 19:16:23,44.6453,-63.5724,64.69,80,100,18.99
249,San Juan,AR,2022-09-22 19:16:08,-31.5375,-68.5364,69.15,12,0,4.07
250,San Rafael,AR,2022-09-22 19:17:51,-34.6177,-68.3301,67.14,17,3,9.42
251,Cavalcante,BR,2022-09-22 19:17:52,-13.7975,-47.4583,84.06,42,99,2.62
252,Parker,US,2022-09-22 19:17:52,32.7668,-97.8003,97.36,32,4,3.0
253,Prince Albert,CA,2022-09-22 19:17:52,53.2001,-105.7677,60.75,41,20,16.11
254,Dumas,US,2022-09-22 19:17:53,35.8656,-101.9732,60.94,67,100,3.44
255,Ayorou,NE,2022-09-22 19:17:53,14.7308,0.9174,96.3,32,5,6.91
256,Pochutla,MX,2022-09-22 19:17:54,15.7432,-96.4661,89.42,69,54,6.85
257,Wilmington,US,2022-09-22 19:17:54,34.2257,-77.9447,93.0,52,0,10.36
258,Batemans Bay,AU,2022-09-22 19:17:54,-35.7167,150.1833,60.1,96,100,5.01
259,Harper,LR,2022-09-22 19:17:55,4.375,-7.7169,76.95,85,54,6.87
260,Ormara,PK,2022-09-22 19:17:55,25.2088,64.6357,79.74,82,16,13.49
261,Bairiki,KI,2022-09-22 19:17:55,1.3292,172.9752,80.6,83,40,8.05
262,Tiksi,RU,2022-09-22 19:17:56,71.6872,128.8694,29.64,90,100,11.59
263,Katsuura,JP,2022-09-22 19:17:56,35.1333,140.3,70.66,94,100,14.03
264,Ambon,ID,2022-09-22 19:17:56,-3.6954,128.1814,75.24,17,40,6.91
265,Plettenberg Bay,ZA,2022-09-22 19:17:57,-34.0527,23.3716,58.89,81,100,12.28
266,Kita,ML,2022-09-22 19:17:57,13.0349,-9.4895,75.74,89,31,4.29
267,Falmouth,GB,2022-09-22 19:17:58,50.1544,-5.0711,59.9,100,100,9.22
268,Isangel,VU,2022-09-22 19:17:58,-19.55,169.2667,68.11,88,81,2.3
269,Alliance,US,2022-09-22 19:17:58,40.9153,-81.1059,60.4,75,100,16.2
270,Canutama,BR,2022-09-22 19:17:59,-6.5339,-64.3831,94.03,37,96,0.69
271,Sao Filipe,CV,2022-09-22 19:17:59,14.8961,-24.4956,79.0,81,100,13.04
272,Sao Desiderio,BR,2022-09-22 19:18:00,-12.3633,-44.9733,93.45,29,55,4.72
273,Tunceli,TR,2022-09-22 19:19:01,39.1083,39.5471,65.5,55,85,2.08
274,Bharatpur,IN,2022-09-22 19:19:01,27.2167,77.4833,77.59,92,100,7.14
275,Catuday,PH,2022-09-22 19:19:01,16.2923,119.8062,79.32,73,19,2.55
276,Kununurra,AU,2022-09-22 19:15:02,-15.7667,128.7333,75.18,88,12,6.91
277,Itoman,JP,2022-09-22 19:19:02,26.1247,127.6694,79.57,96,20,4.61
278,Richards Bay,ZA,2022-09-22 19:19:02,-28.783,32.0377,68.68,93,0,6.87
279,Yichun,CN,2022-09-22 19:19:03,47.7,128.9,49.62,72,100,3.36
280,Lavrentiya,RU,2022-09-22 19:19:03,65.5833,-171.0,42.48,94,100,4.72
281,Kedrovyy,RU,2022-09-22 19:19:04,56.1667,91.8167,52.21,95,100,9.86
282,Padang,ID,2022-09-22 19:19:05,-0.9492,100.3543,76.62,78,100,2.89
283,Rio Grande,BR,2022-09-22 19:19:05,-32.035,-52.0986,51.91,88,100,28.7
284,Ancud,CL,2022-09-22 19:18:41,-41.8697,-73.8203,55.22,85,100,4.18
285,Kashmor,PK,2022-09-22 19:19:06,28.4333,69.5833,89.37,34,0,6.98
286,Lamar,US,2022-09-22 19:19:06,33.6668,-95.5836,99.9,26,0,5.75
287,Dukhovnitskoye,RU,2022-09-22 19:19:07,52.4828,48.2137,68.18,38,100,7.36
288,Tazovskiy,RU,2022-09-22 19:19:07,67.4667,78.7,35.01,97,100,13.18
289,Inuvik,CA,2022-09-22 19:19:08,68.3499,-133.7218,38.26,93,100,11.5
290,Luderitz,NA,2022-09-22 19:19:08,-26.6481,15.1594,56.48,76,0,11.41
291,Nara,JP,2022-09-22 19:18:58,34.6851,135.8049,73.9,85,100,10.0
292,Sumbawanga,TZ,2022-09-22 19:19:09,-7.9667,31.6167,66.2,48,100,1.88
293,Shar,KZ,2022-09-22 19:19:09,49.5886,81.0453,61.66,42,0,6.91
